实例ID,是否在用,确认人,部门名称,项目名称,实例名,主机名,NAT_IP,私有IP,CPU,内存,创建时间,状态,描述,镜像ID
i-88390tbvq,可回收,叶永杰,开发一部,互金系统开发,test_zhunbeishanchu,,,NULL,2,4,2018-02-23 17:11:00,Running,,rhel5u7_64_40G_aliaegis_20160120.vhd
i-885gq6mxx,可回收,叶永杰,开发一部,互金系统开发,互金系统应用服务器2,iZ885gq6mxxZ,10.100.20.191,10.100.241.47,8,16,2017-01-11 09:21:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-887g950k9,在用,叶永杰,开发一部,互金系统开发,互金平台应用服务器-mysqlclient,iZ887g950k9Z,10.100.21.97,10.100.240.89,8,16,2017-03-14 16:20:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-888pqruz6,可回收,叶永杰,开发一部,互金系统开发,dub-register,iZ888pqruz6Z,10.100.23.228,10.100.241.120,4,8,2018-01-18 08:51:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-8899db6kc,可回收,叶永杰,开发一部,互金系统开发,redis主从测试2,iZ8899db6kcZ,10.100.21.60,10.100.241.85,2,4,2017-06-20 14:54:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88axq9wxk,可回收,叶永杰,开发一部,互金系统开发,dub-oprserver,iZ88axq9wxkZ,10.100.23.158,10.100.241.122,4,8,2018-01-18 08:55:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88bc1op36,可回收,叶永杰,开发一部,互金系统开发,互金系统应用服务器1,iZ88bc1op36Z,10.100.20.11,10.100.241.46,8,16,2017-01-11 09:21:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-88iduldoo,可回收,叶永杰,开发一部,互金系统开发,CDCAccessServer,iZ88iduldooZ,10.100.23.170,10.100.241.104,2,4,2017-08-23 16:49:00,Stopped,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88j0r64rp,可回收,叶永杰,开发一部,互金系统开发,互金系统应用服务器3,iZ88j0r64rpZ,10.100.21.103,10.100.241.48,8,16,2017-01-11 09:23:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-88kia7sr7,可回收,叶永杰,开发一部,互金系统开发,nginxyuan,iZ88kia7sr7Z,10.100.23.102,10.100.241.111,4,8,2017-10-09 20:19:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88mk2pund,可回收,叶永杰,开发一部,互金系统开发,hj_log,iZ88mk2pundZ,10.100.20.111,10.100.241.49,8,16,2017-01-11 09:27:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-88omuvtnj,可回收,叶永杰,开发一部,互金系统开发,redis主从测试1,iZ88omuvtnjZ,10.100.21.205,10.100.241.84,2,4,2017-06-20 14:53:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88ovomzl1,可回收,叶永杰,开发一部,互金系统测试,iia_opr_tmp_sit,iZ88ovomzl1Z,10.100.21.148,10.100.243.187,4,8,2018-01-02 15:55:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88qxc2m8c,可回收,叶永杰,开发一部,互金系统开发,iia_mysql,iZ88qxc2m8cZ,10.100.23.59,10.100.243.194,8,16,2018-01-26 17:11:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88syksv3q,可回收,叶永杰,开发一部,互金系统开发,dub-opr,iZ88syksv3qZ,10.100.23.148,10.100.241.121,4,4,2018-01-18 08:54:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88t1u0ru4,可回收,叶永杰,开发一部,互金系统开发,iZ88t1u0ru4Z,iZ88t1u0ru4Z,10.100.21.250,10.100.241.80,2,4,2017-05-10 15:18:00,Stopped,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88v6018oh,可回收,叶永杰,开发一部,互金系统开发,test_mysql,,,NULL,2,4,2018-02-23 17:17:00,Running,,rhel5u7_64_40G_aliaegis_20160120.vhd
i-88wol7faq,可回收,叶永杰,开发一部,互金系统开发,disconf,iZ88wol7faqZ,10.100.20.64,10.100.241.60,2,4,2017-04-27 17:40:00,Stopped,,centos6u5_64_40G_aliaegis_20160222.vhd
i-880cjh27g,可回收,叶永杰,开发一部测试,互联网金融核心系统,igtw_1,iZ880cjh27gZ,10.100.21.242,10.100.243.151,4,8,2017-09-27 16:47:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-880seouds,可回收,叶永杰,开发一部测试,互联网金融核心系统,hgtw_1,iZ880seoudsZ,10.100.21.238,10.100.243.155,4,8,2017-09-27 16:53:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-881dum0sr,可回收,叶永杰,开发一部测试,互联网金融核心系统,msg_2,iZ881dum0srZ,10.100.20.216,10.100.243.23,4,8,2017-04-07 11:34:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-881k65xth,可回收,叶永杰,开发一部测试,互联网金融核心系统,sysSTgtw_2,iZ881k65xthZ,10.100.23.188,10.100.243.101,4,8,2017-06-05 18:49:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-881og76yy,可回收,叶永杰,开发一部测试,互联网金融核心系统,fgtw_1,iZ881og76yyZ,10.100.21.84,10.100.243.153,4,8,2017-09-27 16:50:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-881woz2w9,可回收,叶永杰,开发一部测试,互联网金融核心系统,mkt_2,iZ881woz2w9Z,10.100.20.112,10.100.243.15,4,8,2017-04-07 11:31:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88384ght7,可回收,叶永杰,开发一部测试,互联网金融核心系统,rabbitmq_sit_2,iZ88384ght7Z,10.100.21.137,10.100.243.173,4,8,2017-10-24 16:01:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-883hmfiam,在用,叶永杰,开发一部测试,互联网金融核心系统,jobcenter_1,iZ883hmfiamZ,10.100.21.184,10.100.243.42,4,8,2017-04-07 15:14:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-883mhp012,在用,叶永杰,开发一部测试,互联网金融核心系统,chlgtw_1,iZ883mhp012Z,10.100.23.98,10.100.243.44,4,8,2017-04-07 15:17:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-883s8mdgo,可回收,叶永杰,开发一部测试,互联网金融核心系统,user_1,iZ883s8mdgoZ,10.100.21.105,10.100.243.4,4,8,2017-04-07 11:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-884o1arby,在用,叶永杰,开发一部测试,互联网金融核心系统,oprserver_2,iZ884o1arbyZ,10.100.22.115,10.100.243.72,4,8,2017-04-26 16:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-885nkusmy,可回收,叶永杰,开发一部测试,互联网金融核心系统,ent_front_dmz,iZ885nkusmyZ,10.100.23.137,10.100.68.41,2,4,2017-12-12 09:20:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-886iall5z,在用,叶永杰,开发一部测试,互联网金融核心系统,iia_2,iZ886iall5zZ,10.100.20.229,10.100.243.166,4,8,2017-10-19 14:37:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-887dsns18,可回收,叶永杰,开发一部测试,互联网金融核心系统,prd_2,iZ887dsns18Z,10.100.20.71,10.100.243.21,4,8,2017-04-07 11:33:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-887kgf92j,可回收,叶永杰,开发一部测试,互联网金融核心系统,api_2,iZ887kgf92jZ,10.100.20.204,10.100.243.148,4,8,2017-09-27 16:27:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-887us2oa9,可回收,叶永杰,开发一部测试,互联网金融核心系统,kuorong001,iZ887us2oa9Z,10.100.21.206,10.100.243.108,4,8,2017-06-22 14:14:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-888g2yj01,可回收,叶永杰,开发一部测试,互联网金融核心系统,prf_1,iZ888g2yj01Z,10.100.20.166,10.100.243.18,4,8,2017-04-07 11:32:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88a87xcsb,可回收,叶永杰,开发一部测试,互联网金融核心系统,sysSTgtw_1,iZ88a87xcsbZ,10.100.23.178,10.100.243.100,4,8,2017-06-05 18:47:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88bam0dng,可回收,叶永杰,开发一部测试,互联网金融核心系统,hgtw_2,iZ88bam0dngZ,10.100.20.127,10.100.243.156,4,8,2017-09-27 16:57:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88ce0fl9m,在用,叶永杰,开发一部测试,互联网金融核心系统,iia_1,iZ88ce0fl9mZ,10.100.23.37,10.100.243.165,4,8,2017-10-19 14:36:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88d2fd7iy,可回收,叶永杰,开发一部测试,互联网金融核心系统,igtw_2,iZ88d2fd7iyZ,10.100.21.57,10.100.243.152,4,8,2017-09-27 16:48:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88dn4xvma,可回收,叶永杰,开发一部测试,互联网金融核心系统,ent_2,iZ88dn4xvmaZ,10.100.21.166,10.100.243.145,4,8,2017-09-27 16:17:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88e00g7yo,可回收,叶永杰,开发一部测试,互联网金融核心系统,outgtw_2,iZ88e00g7yoZ,10.100.22.89,10.100.243.13,4,8,2017-04-07 11:28:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88e6kodge,可回收,叶永杰,开发一部测试,互联网金融核心系统,acctjob,iZ88e6kodgeZ,10.100.20.145,10.100.243.28,4,8,2017-04-07 11:36:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88eq13bhc,可回收,叶永杰,开发一部测试,互联网金融核心系统,ob_connection,iZ88eq13bhcZ,10.100.21.222,10.100.243.120,4,8,2017-08-01 17:41:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88g8ppf9h,可回收,叶永杰,开发一部测试,互联网金融核心系统,api_1,iZ88g8ppf9hZ,10.100.20.14,10.100.243.147,4,8,2017-09-27 16:22:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88gog35gu,可回收,叶永杰,开发一部测试,互联网金融核心系统,user_2,iZ88gog35guZ,10.100.20.149,10.100.243.5,4,8,2017-04-07 11:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88hdhqyzy,在用,叶永杰,开发一部测试,互联网金融核心系统,oprserver_1,iZ88hdhqyzyZ,10.100.20.128,10.100.243.25,4,8,2017-04-07 11:34:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88hjkocnu,可回收,叶永杰,开发一部测试,互联网金融核心系统,iZ88hjkocnuZ,iZ88hjkocnuZ,10.100.20.16,10.100.243.195,4,8,2018-02-07 09:19:00,Running,,centos7u0_64_40G_aliaegis_20160222.vhd
i-88iq220u4,在用,叶永杰,开发一部测试,互联网金融核心系统,elk,iZ88iq220u4Z,10.100.22.114,10.100.243.30,4,8,2017-04-07 11:37:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88iwlm65m,在用,叶永杰,开发一部测试,互联网金融核心系统,opr_2,iZ88iwlm65mZ,10.100.23.83,10.100.243.71,4,8,2017-04-26 16:15:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88j3h4fll,可回收,叶永杰,开发一部测试,互联网金融核心系统,fgtw_2,iZ88j3h4fllZ,10.100.21.254,10.100.243.154,4,8,2017-09-27 16:51:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88j93ln3c,可回收,叶永杰,开发一部测试,互联网金融核心系统,rabbitmq_sit_1,iZ88j93ln3cZ,10.100.22.21,10.100.243.172,4,8,2017-10-24 16:00:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88ju51e4v,可回收,叶永杰,开发一部测试,互联网金融核心系统,cdc,iZ88ju51e4vZ,10.100.23.208,10.100.243.55,2,4,2017-04-18 17:54:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88jyb7qyc,在用,叶永杰,开发一部测试,互联网金融核心系统,redis_2,iZ88jyb7qycZ,10.100.23.225,10.100.243.57,2,4,2017-04-19 21:06:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88kzyserd,可回收,叶永杰,开发一部测试,互联网金融核心系统,prf_2,iZ88kzyserdZ,10.100.21.134,10.100.243.19,4,8,2017-04-07 11:32:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88l4pn8wg,在用,叶永杰,开发一部测试,互联网金融核心系统,iia_job_2,iZ88l4pn8wgZ,10.100.22.80,10.100.243.168,8,16,2017-10-19 14:40:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88li1hk7c,在用,叶永杰,开发一部测试,互联网金融核心系统,sysgtw_2,iZ88li1hk7cZ,10.100.22.106,10.100.243.11,4,8,2017-04-07 11:27:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88lmlppl5,可回收,叶永杰,开发一部测试,互联网金融核心系统,txn_2,iZ88lmlppl5Z,10.100.21.38,10.100.243.17,4,8,2017-04-07 11:31:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88lr3dfdm,可回收,叶永杰,开发一部测试,互联网金融核心系统,ent_1,iZ88lr3dfdmZ,10.100.21.175,10.100.243.144,4,8,2017-09-27 16:13:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88lud3725,在用,叶永杰,开发一部测试,互联网金融核心系统,HJPT_SVN1,iZ88lud3725Z,10.100.22.16,10.100.243.104,4,8,2017-06-16 15:48:00,Running,HJPT版本管理1,win2012_64_dataCtr_R2_cn_40G_alibase_20151212.vhd
i-88lx6ajv5,可回收,叶永杰,开发一部测试,互联网金融核心系统,h5_front,iZ88lx6ajv5Z,10.100.22.60,10.100.243.142,2,4,2017-09-28 16:46:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88n5a0ruu,可回收,叶永杰,开发一部测试,互联网金融核心系统,prdjob,iZ88n5a0ruuZ,10.100.21.20,10.100.243.34,4,8,2017-04-07 11:39:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88n9eqdsy,可回收,叶永杰,开发一部测试,互联网金融核心系统,prfjob,iZ88n9eqdsyZ,10.100.21.186,10.100.243.32,4,8,2017-04-07 11:37:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88nq4medd,可回收,叶永杰,开发一部测试,互联网金融核心系统,outgtw_1,iZ88nq4meddZ,10.100.20.203,10.100.243.12,4,8,2017-04-07 11:28:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88o7ivncv,可回收,叶永杰,开发一部测试,互联网金融核心系统,ent_job,iZ88o7ivncvZ,10.100.23.0,10.100.243.146,4,8,2017-09-27 16:20:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88oygw6dg,在用,叶永杰,开发一部测试,互联网金融核心系统,sysgtw_1,iZ88oygw6dgZ,10.100.23.51,10.100.243.10,4,8,2017-04-07 11:27:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88pvgikq3,可回收,叶永杰,开发一部测试,互联网金融核心系统,kuorong003,iZ88pvgikq3Z,10.100.21.145,10.100.243.110,4,8,2017-06-22 14:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88pzczcn7,可回收,叶永杰,开发一部测试,互联网金融核心系统,user_job,iZ88pzczcn7Z,10.100.23.29,10.100.243.161,4,8,2017-09-27 19:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88rm61gid,在用,叶永杰,开发一部测试,互联网金融核心系统,iia_job_1,iZ88rm61gidZ,10.100.22.9,10.100.243.167,8,16,2017-10-19 14:38:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88s2ygpws,可回收,叶永杰,开发一部测试,互联网金融核心系统,HJPT_SVN2,iZ88s2ygpwsZ,10.100.20.60,10.100.243.117,4,8,2017-07-17 14:38:00,Stopped,HJPT版本管理2,win2008_64_ent_r2_cn_40G_alibase_20151212.vhd
i-88snrgjn3,可回收,叶永杰,开发一部测试,互联网金融核心系统,mkt_1,iZ88snrgjn3Z,10.100.21.55,10.100.243.14,4,8,2017-04-07 11:30:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88t4dsvw7,在用,叶永杰,开发一部测试,互联网金融核心系统,chlgtw_2,iZ88t4dsvw7Z,10.100.23.174,10.100.243.45,4,8,2017-04-07 15:17:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88t60ll9i,可回收,叶永杰,开发一部测试,互联网金融核心系统,h5_front_dmz,iZ88t60ll9iZ,10.100.23.222,10.100.68.40,2,4,2017-12-12 09:19:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88taz1n8m,在用,叶永杰,开发一部测试,互联网金融核心系统,jobcenter_2,iZ88taz1n8mZ,10.100.22.109,10.100.243.43,4,8,2017-04-07 15:15:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88ub6yaxq,在用,叶永杰,开发一部测试,互联网金融核心系统,redis_1,iZ88ub6yaxqZ,10.100.21.189,10.100.243.56,2,4,2017-04-19 21:06:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88w67nfyh,在用,叶永杰,开发一部测试,互联网金融核心系统,disconf,iZ88w67nfyhZ,10.100.23.57,10.100.243.59,2,4,2017-04-20 15:42:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88w6nj3kd,可回收,叶永杰,开发一部测试,互联网金融核心系统,kuorong002,iZ88w6nj3kdZ,10.100.22.83,10.100.243.109,4,8,2017-06-22 14:15:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88wgk6auz,可回收,叶永杰,开发一部测试,互联网金融核心系统,mktjob,iZ88wgk6auzZ,10.100.20.65,10.100.243.29,4,8,2017-04-07 11:36:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88x69p2qj,可回收,叶永杰,开发一部测试,互联网金融核心系统,ent_front_sit,iZ88x69p2qjZ,10.100.23.213,10.100.243.143,2,4,2017-10-24 12:32:00,Running,,aliyun1501_32_40G_aliaegis_20160222.vhd
i-88x857gym,可回收,叶永杰,开发一部测试,互联网金融核心系统,cdc_back,iZ88x857gymZ,10.100.20.68,10.100.243.96,2,4,2017-05-25 08:59:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88xe8kv30,可回收,叶永杰,开发一部测试,互联网金融核心系统,txnjob,iZ88xe8kv30Z,10.100.21.85,10.100.243.31,4,8,2017-04-07 11:37:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88xejmhiw,可回收,叶永杰,开发一部测试,互联网金融核心系统,prd_1,iZ88xejmhiwZ,10.100.20.80,10.100.243.20,4,8,2017-04-07 11:33:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88xsnsm70,在用,叶永杰,开发一部测试,互联网金融核心系统,api_opr1,iZ88xsnsm70Z,10.100.23.146,10.100.243.149,4,8,2017-09-27 16:34:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88z1q4a2u,可回收,叶永杰,开发一部测试,互联网金融核心系统,txn_1,iZ88z1q4a2uZ,10.100.22.26,10.100.243.16,4,8,2017-04-07 11:31:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88z3u9ql4,在用,叶永杰,开发一部测试,互联网金融核心系统,file,iZ88z3u9ql4Z,10.100.23.154,10.100.243.33,2,4,2017-04-07 11:38:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88z40pedj,在用,叶永杰,开发一部测试,互联网金融核心系统,opr_1,iZ88z40pedjZ,10.100.21.11,10.100.243.24,4,8,2017-04-07 11:34:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
